iter	Passed	Remaining
0	684	684258
1	686	342513
2	687	228517
3	688	171517
4	690	137340
5	691	114554
6	693	98322
7	694	86145
8	698	76912
9	699	69279
10	701	63034
11	702	57819
12	703	53405
13	704	49626
14	705	46353
15	707	43492
16	708	40960
17	711	38813
18	712	36799
19	713	34982
20	715	33344
21	716	31850
22	717	30494
23	719	29253
24	720	28099
25	721	27032
26	722	26044
27	725	25179
28	726	24319
29	727	23521
30	728	22771
31	729	22064
32	730	21401
33	731	20772
34	732	20186
35	732	19627
36	733	19098
37	734	18597
38	735	18121
39	736	17669
40	737	17239
41	740	16886
42	741	16493
43	741	16116
44	742	15758
45	743	15414
46	743	15084
47	744	14768
48	745	14465
49	746	14178
50	746	13898
51	747	13628
52	748	13370
53	749	13122
54	749	12882
55	750	12654
56	753	12464
57	754	12247
58	754	12038
59	755	11835
60	756	11639
61	756	11449
62	757	11265
63	758	11086
64	758	10914
65	759	10746
66	760	10584
67	760	10426
68	761	10273
69	762	10125
70	762	9981
71	763	9840
72	764	9703
73	764	9570
74	765	9440
75	767	9327
76	768	9206
77	768	9085
78	769	8968
79	769	8854
80	770	8743
81	771	8634
82	771	8524
83	772	8421
84	772	8320
85	773	8221
86	774	8124
87	774	8030
88	776	7947
89	777	7857
90	777	7769
91	778	7683
92	779	7598
93	779	7515
94	781	7446
95	782	7370
96	783	7291
97	783	7215
98	784	7141
99	785	7067
100	785	6996
101	786	6925
102	787	6856
103	787	6788
104	788	6722
105	789	6656
106	789	6592
107	790	6529
108	791	6467
109	791	6407
110	792	6348
111	793	6289
112	794	6232
113	796	6187
114	798	6143
115	799	6089
116	799	6035
117	800	5982
118	801	5931
119	802	5881
120	802	5832
121	803	5782
122	804	5733
123	804	5685
124	805	5637
125	806	5591
126	806	5545
127	807	5502
128	808	5458
129	809	5416
130	810	5378
131	811	5336
132	812	5294
133	812	5253
134	813	5212
135	814	5172
136	814	5132
137	815	5093
138	816	5055
139	816	5018
140	817	4981
141	818	4942
142	818	4906
143	819	4870
144	820	4835
145	820	4800
146	821	4766
147	822	4732
148	823	4700
149	826	4680
150	826	4649
151	827	4619
152	829	4589
153	830	4560
154	831	4530
155	831	4501
156	832	4471
157	833	4442
158	834	4414
159	835	4386
160	836	4357
161	837	4329
162	837	4302
163	841	4291
164	842	4265
165	843	4239
166	844	4212
167	845	4186
168	845	4159
169	846	4133
170	847	4107
171	847	4081
172	848	4056
173	849	4031
174	849	4007
175	850	3982
176	851	3958
177	851	3934
178	852	3910
179	853	3886
180	855	3869
181	855	3846
182	856	3823
183	857	3801
184	857	3778
185	858	3756
186	859	3734
187	859	3713
188	860	3692
189	861	3670
190	861	3650
191	862	3629
192	863	3609
193	863	3589
194	864	3569
195	865	3550
196	866	3530
197	866	3511
198	867	3492
199	870	3483
200	871	3464
201	872	3445
202	872	3427
203	873	3408
204	874	3390
205	874	3372
206	875	3354
207	876	3337
208	877	3320
209	877	3302
210	878	3285
211	879	3268
212	880	3252
213	880	3235
214	881	3219
215	882	3202
216	883	3186
217	885	3177
218	886	3162
219	887	3146
220	888	3130
221	888	3115
222	889	3100
223	890	3086
224	891	3070
225	892	3055
226	892	3040
227	893	3025
228	894	3011
